mode,c,family,mean_abs_swing,max_abs_swing,n_directions
a_only,0.05,cov,0.03953238257693846,0.03953238257693846,1
a_only,0.05,probe,0.6569382189354295,0.6569382189354295,1
a_only,0.05,rand,0.13876082955569122,0.14346315238722182,2
contrastive,0.001,probe,0.04639605465537321,0.04639605465537321,1
contrastive,0.005,probe,0.21427509402472256,0.21427509402472256,1
contrastive,0.02,cov,0.022144484202241247,0.04135071834423192,3
contrastive,0.02,low,0.08122819180984127,0.12560743121440854,3
contrastive,0.02,probe,0.7879083298369655,0.7879083298369655,1
contrastive,0.02,rand,0.09244421520131181,0.14218929867927405,6
contrastive,0.02,shuf,0.13595150560657335,0.27656946448884584,3
contrastive,0.02,top,0.21570178104219595,0.330421856731482,3
contrastive,0.04,probe,0.9520800061239338,0.9520800061239338,1
contrastive,0.05,cov,0.074301903135874,0.10888255493929572,3
contrastive,0.05,low,0.17441241258861728,0.2525617146236595,3
contrastive,0.05,probe,0.9711587878717921,0.9711587878717921,1
contrastive,0.05,rand,0.30225411520843304,0.5179680594937336,8
contrastive,0.05,shuf,0.36605898676026666,0.43534697265180566,3
contrastive,0.05,top,0.4351588462024922,0.6961836283775698,3
contrastive,0.06,probe,0.9956377378917296,0.9956377378917296,1
contrastive,0.06,rand,0.294728226494961,0.3458036173660883,2
contrastive+natsd,0.02,cov,0.002118916977139973,0.002118916977139973,1
contrastive+natsd,0.02,orth,0.10068979358702268,0.16881958310247225,2
contrastive+natsd,0.02,rand,0.12112309766739497,0.2045574968073866,4
contrastive+natsd,0.02,shuf,0.17836503963447406,0.3612507833930979,3
contrastive+natsd,0.02,top,0.06056290021965947,0.08482726159229058,3
contrastive+natsd,0.05,cov,0.0011032905955939661,0.0011032905955939661,1
contrastive+natsd,0.05,orth,0.2342560953870873,0.4032292844943425,2
contrastive+natsd,0.05,rand,0.17446675822430716,0.4486571279890898,4
contrastive+natsd,0.05,shuf,0.31109269083023566,0.5151373208798163,3
contrastive+natsd,0.05,top,0.152676348742976,0.222968780474513,3
contrastive+seedname,0.05,orth,0.12280620650669073,0.24335897590693473,4
contrastive+seedname,0.05,rand,0.1389942660934521,0.2807200580291443,4
