format,cond,layer,flip_rate,n_decisive,n_flips,ci_lo,ci_hi
original_letter,eot,2,0.0,235,0,0.0,0.0
original_letter,eot,5,0.00851063829787234,235,2,0.0,0.02145922746781116
original_letter,eot,8,0.00851063829787234,235,2,0.0,0.02145922746781116
original_letter,eot,11,0.01702127659574468,235,4,0.004201680672268907,0.03404255319148936
original_letter,eot,14,0.01276595744680851,235,3,0.0,0.029535864978902954
original_letter,eot,17,0.02553191489361702,235,6,0.00847457627118644,0.046610169491525424
original_letter,eot,20,0.0425531914893617,235,10,0.0211864406779661,0.06837606837606838
original_letter,eot,23,0.05531914893617021,235,13,0.029661016949152543,0.0851063829787234
original_letter,eot,26,0.0851063829787234,235,20,0.05172413793103448,0.12135165781793882
original_letter,eot,29,0.09361702127659574,235,22,0.059322033898305086,0.1308016877637131
original_letter,eot,32,0.08085106382978724,235,19,0.05063291139240506,0.11589231537664636
original_letter,eot,35,0.00425531914893617,235,1,0.0,0.01293103448275862
original_letter,eot,38,0.0,235,0,0.0,0.0
original_letter,eot,41,0.0,235,0,0.0,0.0
original_letter,eot,44,0.0,235,0,0.0,0.0
original_letter,eot,47,0.0,235,0,0.0,0.0
original_letter,eot,50,0.0,235,0,0.0,0.0
original_letter,eot,53,0.0,235,0,0.0,0.0
original_letter,eot,56,0.0,235,0,0.0,0.0
original_letter,eot,59,0.0,235,0,0.0,0.0
original_letter,eot_all,-1,0.16595744680851063,235,39,0.11864406779661017,0.21794871794871795
original_letter,swap,2,0.5531914893617021,235,130,0.487176724137931,0.6196729957805907
original_letter,swap,5,0.5617021276595745,235,132,0.49366953945596553,0.6298264514965739
original_letter,swap,8,0.5446808510638298,235,128,0.48068669527896996,0.6127659574468085
original_letter,swap,11,0.548936170212766,235,129,0.48068669527896996,0.6170212765957447
original_letter,swap,14,0.5659574468085107,235,133,0.4978902953586498,0.6352031352295046
original_letter,swap,17,0.5829787234042553,235,137,0.5148936170212766,0.6540375381929286
original_letter,swap,20,0.5829787234042553,235,137,0.5127118644067796,0.6566523605150214
original_letter,swap,23,0.4553191489361702,235,107,0.39053975412817343,0.5236102595544656
original_letter,swap,26,0.20851063829787234,235,49,0.15317526144969348,0.26695645821157216
original_letter,swap,29,0.05531914893617021,235,13,0.029535864978902954,0.0851063829787234
original_letter,swap,32,0.02127659574468085,235,5,0.004273504273504274,0.0423728813559322
original_letter,swap,35,0.0,235,0,0.0,0.0
original_letter,swap,38,0.0,235,0,0.0,0.0
original_letter,swap,41,0.0,235,0,0.0,0.0
original_letter,swap,44,0.0,235,0,0.0,0.0
original_letter,swap,47,0.0,235,0,0.0,0.0
original_letter,swap,50,0.0,235,0,0.0,0.0
original_letter,swap,53,0.0,235,0,0.0,0.0
original_letter,swap,56,0.0,235,0,0.0,0.0
original_letter,swap,59,0.0,235,0,0.0,0.0
letter,eot_nl,20,0.06808510638297872,235,16,0.03418803418803419,0.10460251046025104
letter,eot_nl,23,0.12340425531914893,235,29,0.0851063829787234,0.16877774124609565
letter,eot_nl,26,0.24680851063829787,235,58,0.19658119658119658,0.296137339055794
letter,eot_nl,29,0.4297872340425532,235,101,0.3617021276595745,0.49569057618626583
letter,eot_nl,32,0.3574468085106383,235,84,0.2948717948717949,0.425531914893617
letter,eot_nl,35,0.02127659574468085,235,5,0.00425531914893617,0.04219409282700422
letter,eot_nl_all,-1,0.5702127659574469,235,134,0.5,0.6410256410256411
letter,nl,26,0.09787234042553192,235,23,0.0603448275862069,0.13793103448275862
letter,nl,29,0.1148936170212766,235,27,0.07327586206896551,0.1574636297508637
letter,nl,32,0.07659574468085106,235,18,0.04273049645390071,0.11158798283261803
letter,nl_all,-1,0.17446808510638298,235,41,0.12985613524406628,0.2222222222222222
completion,eot,20,0.02109704641350211,237,5,0.00423728813559322,0.04201680672268908
completion,eot,23,0.05063291139240506,237,12,0.02531645569620253,0.0795062585703737
completion,eot,26,0.08016877637130802,237,19,0.050414893991069236,0.11440677966101695
completion,eot,29,0.11814345991561181,237,28,0.0794979079497908,0.1589958158995816
completion,eot,32,0.12236286919831224,237,29,0.0811965811965812,0.1638655462184874
completion,eot,35,0.0,237,0,0.0,0.0
completion,eot_all,-1,0.16033755274261605,237,38,0.11764705882352941,0.20260629748684966
completion,eot_nl,20,0.05063291139240506,237,12,0.02510460251046025,0.08050847457627118
completion,eot_nl,23,0.08438818565400844,237,20,0.05128205128205128,0.11914893617021277
completion,eot_nl,26,0.24050632911392406,237,57,0.18374113475177306,0.29831932773109243
completion,eot_nl,29,0.33755274261603374,237,80,0.27776610644257704,0.3974358974358974
completion,eot_nl,32,0.35443037974683544,237,84,0.29235522598870056,0.4159838935574229
completion,eot_nl,35,0.0,237,0,0.0,0.0
completion,eot_nl_all,-1,0.5021097046413502,237,119,0.43037974683544306,0.5696350659843792
completion,nl,26,0.07172995780590717,237,17,0.04219409282700422,0.10548523206751055
completion,nl,29,0.07172995780590717,237,17,0.04201680672268908,0.10504201680672269
completion,nl,32,0.07172995780590717,237,17,0.03829381536242337,0.1087866108786611
completion,nl_all,-1,0.12236286919831224,237,29,0.08016877637130802,0.16736401673640167
