layer,dir,mode,c,swing_nf4,n_trials_nf4,n_pairs_nf4,swing_bf16,n_trials_bf16,n_pairs_bf16,abs_difference
20,probe,contrastive,0.02,0.3824369346966218,240,120,0.37123624962287877,240,120,0.011200685073743055
20,probe,contrastive,0.05,0.8271315427205607,240,120,0.840031829820213,240,120,0.012900287099652297
20,rand0,contrastive,0.05,0.061307567799642776,240,120,0.047233129012824664,240,120,0.014074438786818112
20,rand1,contrastive,0.05,-0.07840908677136953,240,120,-0.057107730461994494,240,120,0.021301356309375033
20,rand2,contrastive,0.02,0.12015853545914723,240,120,0.10619531145726126,240,120,0.013963224001885974
20,rand2,contrastive,0.05,0.29688713778792847,240,120,0.25842060198163996,240,120,0.038466535806288504
20,rand3,contrastive,0.02,-0.04604975878173017,240,120,-0.03474007440534124,240,120,0.011309684376388927
20,rand3,contrastive,0.05,-0.2017893262636902,240,120,-0.17442598305678683,240,120,0.027363343206903368
20,shuf0,contrastive,0.02,-0.08010006301115517,240,120,-0.05962419973047868,240,120,0.020475863280676493
20,shuf0,contrastive,0.05,-0.1225948475199814,240,120,-0.022000796023426254,240,120,0.10059405149655515
20,shuf1,contrastive,0.02,0.03409291205609823,240,120,0.019073247668322434,240,120,0.0150196643877758
20,shuf1,contrastive,0.05,-0.08866143416587104,240,120,-0.07625240291686589,240,120,0.01240903124900515
20,shuf2,contrastive,0.02,0.06374095387558008,240,120,0.08056713891104723,240,120,0.01682618503546715
20,shuf2,contrastive,0.05,0.20677062539576532,240,120,0.3113808998241071,240,120,0.10461027442834178
23,probe,contrastive,0.02,0.7879083298369655,240,120,0.7948256979335301,240,120,0.0069173680965646245
23,probe,contrastive,0.05,0.9711587878717921,240,120,0.9770689694012662,240,120,0.00591018152947409
23,rand0,contrastive,0.05,0.286295502372815,240,120,0.2781827096412874,240,120,0.008112792731527596
23,rand1,contrastive,0.05,-0.20302219606152944,240,120,-0.31706977392461255,240,120,0.11404757786308312
23,rand2,contrastive,0.02,0.135951880817644,240,120,0.11658578661041107,240,120,0.01936609420723294
23,rand2,contrastive,0.05,0.5179680594937336,240,120,0.504850329063458,240,120,0.013117730430275643
23,rand3,contrastive,0.02,0.14218929867927405,240,120,0.14363691203842482,240,120,0.001447613359150779
23,rand3,contrastive,0.05,0.36915516052985325,240,120,0.3378889702125018,240,120,0.03126619031735145
23,shuf0,contrastive,0.02,-0.0921930593881772,240,120,-0.08627672705668187,240,120,0.0059163323314953414
23,shuf0,contrastive,0.05,-0.43534697265180566,240,120,-0.47085876028171275,240,120,0.03551178762990709
23,shuf1,contrastive,0.02,-0.03909199294269698,240,120,-0.07576380048102155,240,120,0.036671807538324566
23,shuf1,contrastive,0.05,-0.3347101528244315,240,120,-0.38024572538071344,240,120,0.045535572556281934
23,shuf2,contrastive,0.02,0.27656946448884584,240,120,0.24996387731057107,240,120,0.02660558717827477
23,shuf2,contrastive,0.05,0.3281198348045629,240,120,0.26947927569960706,240,120,0.05864055910495586
23,top0,contrastive,0.02,0.21786554813960754,240,120,0.19419810033390472,240,120,0.023667447805702818
23,top0,contrastive,0.05,0.5219471257120397,240,120,0.5233067007202441,240,120,0.0013595750082043834
23,top1,contrastive,0.02,-0.09881793825549837,240,120,-0.08658986763945772,240,120,0.012228070616040643
23,top1,contrastive,0.05,0.08734578451786686,240,120,0.10102735578219847,240,120,0.013681571264331616
23,top2,contrastive,0.02,0.330421856731482,240,120,0.284473361551175,240,120,0.045948495180307025
23,top2,contrastive,0.05,0.6961836283775698,240,120,0.703247384709059,240,120,0.007063756331489257
