layer,dir,mode,c,swing,n_trials,n_pairs
2,probe,contrastive,0.05,-0.010762163978356947,240,120
5,probe,contrastive,0.05,-0.040261368893435484,240,120
8,probe,contrastive,0.05,-0.09099571191541235,240,120
11,probe,contrastive,0.05,-0.0015351238909235294,240,120
14,probe,contrastive,0.02,0.011384904352700289,240,120
14,probe,contrastive,0.04,0.020150817050631466,240,120
14,probe,contrastive,0.05,0.020414996720454152,240,120
14,probe,contrastive,0.06,0.01840788112562103,240,120
14,rand0,contrastive,0.05,0.02153739611450105,240,120
14,rand0,contrastive,0.06,0.012042625892072393,240,120
14,rand1,contrastive,0.05,0.0161241252648441,240,120
14,rand1,contrastive,0.06,0.025080187818571152,240,120
17,probe,contrastive,0.02,0.032684677311417436,240,120
17,probe,contrastive,0.04,0.11715109287743847,240,120
17,probe,contrastive,0.05,0.2364337803319135,240,120
17,probe,contrastive,0.06,0.32568802073045006,240,120
17,rand0,contrastive,0.05,-0.21077043323116637,240,120
17,rand0,contrastive,0.06,-0.25347654590644997,240,120
17,rand1,contrastive,0.05,0.0020783442696815126,240,120
17,rand1,contrastive,0.06,0.008674758944266699,240,120
20,cov0,contrastive,0.02,-0.019218664392306004,240,120
20,cov0,contrastive,0.05,-0.02793740520045896,240,120
20,cov1,contrastive,0.02,-0.004263904707783095,240,120
20,cov1,contrastive,0.05,-0.06101583047436458,240,120
20,cov2,contrastive,0.02,0.04326820381153769,240,120
20,cov2,contrastive,0.05,0.1547572453125747,240,120
20,probe,contrastive,0.02,0.3824369346966218,240,120
20,probe,contrastive,0.04,0.7384639215315542,240,120
20,probe,contrastive,0.05,0.8271315427205607,240,120
20,probe,contrastive,0.06,0.8874449443543734,240,120
20,rand0,contrastive,0.05,0.061307567799642776,240,120
20,rand0,contrastive,0.06,0.038189768865911855,240,120
20,rand1,contrastive,0.05,-0.07840908677136953,240,120
20,rand1,contrastive,0.06,-0.1117357182155609,240,120
20,rand2,contrastive,0.02,0.12015853545914723,240,120
20,rand2,contrastive,0.05,0.29688713778792847,240,120
20,rand3,contrastive,0.02,-0.04604975878173017,240,120
20,rand3,contrastive,0.05,-0.2017893262636902,240,120
20,rand4,contrastive,0.02,0.006328920289242459,240,120
20,rand4,contrastive,0.05,-0.013903983743600353,240,120
20,rand5,contrastive,0.02,-0.06827639335533643,240,120
20,rand5,contrastive,0.05,-0.16495560918819535,240,120
20,rand6,contrastive,0.02,-0.011241312993722588,240,120
20,rand6,contrastive,0.05,-0.0007597083884369024,240,120
20,rand7,contrastive,0.02,-0.027833946358752366,240,120
20,rand7,contrastive,0.05,-0.025250357097252544,240,120
20,shuf0,contrastive,0.02,-0.08010006301115517,240,120
20,shuf0,contrastive,0.05,-0.1225948475199814,240,120
20,shuf1,contrastive,0.02,0.03409291205609823,240,120
20,shuf1,contrastive,0.05,-0.08866143416587104,240,120
20,shuf2,contrastive,0.02,0.06374095387558008,240,120
20,shuf2,contrastive,0.05,0.20677062539576532,240,120
23,cov0,a_only,0.05,0.03953238257693846,240,120
23,cov0,contrastive,0.02,-3.165840490877055e-05,240,120
23,cov0,contrastive,0.05,-0.02350893862549931,240,120
23,cov0,contrastive+natsd,0.02,-0.002118916977139973,240,120
23,cov0,contrastive+natsd,0.05,-0.0011032905955939661,240,120
23,cov1,contrastive,0.02,0.04135071834423192,240,120
23,cov1,contrastive,0.05,0.10888255493929572,240,120
23,cov2,contrastive,0.02,-0.02505107585758305,240,120
23,cov2,contrastive,0.05,-0.09051421584282696,240,120
23,low0,contrastive,0.02,0.041612205795352845,240,120
23,low0,contrastive,0.05,0.09702170791844131,240,120
23,low1,contrastive,0.02,-0.12560743121440854,240,120
