cond,layer,n_decisive,flip_rate,ci_lo,ci_hi,mean_dPA_toward_flip,mass
eot,2,235,0.0,0.0,0.0,0.00037188873859984623,0.9875008333333334
eot,5,235,0.008333333333333333,0.0,0.020833333333333332,0.005887528899929821,0.9875010416666666
eot,8,235,0.008333333333333333,0.0,0.020833333333333332,0.007165845220569459,0.9875012916666667
eot,11,235,0.016666666666666666,0.004166666666666667,0.03333333333333333,0.011282857856724922,0.9875013333333332
eot,14,235,0.0125,0.0,0.029166666666666667,0.009954791293583756,0.9875017083333333
eot,17,235,0.025,0.008333333333333333,0.04583333333333333,0.014942818267247126,0.9875017083333333
eot,20,235,0.041666666666666664,0.020833333333333332,0.06666666666666667,0.030912793651030425,0.9875010833333333
eot,23,235,0.05416666666666667,0.029166666666666667,0.07916666666666666,0.046631253342881616,0.9875017916666666
eot,26,235,0.08333333333333333,0.05,0.11260416666666657,0.08356514799964125,0.9875009583333333
eot,29,235,0.09166666666666666,0.058333333333333334,0.12510416666666657,0.09680414524949478,0.9875011666666667
eot,32,235,0.07916666666666666,0.05,0.1125,0.08093329815368905,0.9875017916666666
eot,35,235,0.004166666666666667,0.0,0.016666666666666666,0.003918000906775563,0.9875022916666667
eot,38,235,0.0,0.0,0.0,-3.2042161841050465e-05,0.9875008333333334
eot,41,235,0.0,0.0,0.0,0.0029238503882395178,0.9875006249999999
eot,44,235,0.0,0.0,0.0,0.0017027360414542997,0.9875007916666667
eot,47,235,0.0,0.0,0.0,0.0011590257842197648,0.9875007916666667
eot,50,235,0.0,0.0,0.0,0.001130524287367532,0.9875008333333334
eot,53,235,0.0,0.0,0.0,0.002120752508245625,0.9875006249999999
eot,56,235,0.0,0.0,0.0,0.00023881079767750974,0.9875006666666667
eot,59,235,0.0,0.0,0.0,0.00013304424148814905,0.9875010416666666
eot_all,-1,235,0.1625,0.11666666666666667,0.20833333333333334,0.15887746259905688,0.9834350000000001
swap,2,235,0.5583333333333333,0.49583333333333335,0.6208333333333333,0.5398313272662417,0.9699781666666667
swap,5,235,0.5666666666666667,0.49583333333333335,0.6333333333333333,0.5397105743622077,0.9682746249999999
swap,8,235,0.55,0.4873958333333333,0.6125,0.5359284580937631,0.9704004166666667
swap,11,235,0.5541666666666667,0.48333333333333334,0.6208333333333333,0.5332639141622667,0.9638943333333334
swap,14,235,0.5708333333333333,0.49583333333333335,0.6375,0.5522314399377882,0.9697540416666667
swap,17,235,0.5916666666666667,0.525,0.6583333333333333,0.5677523513297935,0.9751543749999999
swap,20,235,0.5875,0.5165625,0.6541666666666667,0.5659659510601811,0.9719652916666667
swap,23,235,0.4625,0.3958333333333333,0.5291666666666667,0.4454504516153766,0.9689311666666666
swap,26,235,0.2125,0.15416666666666667,0.2708333333333333,0.19672593917518746,0.9875006249999999
swap,29,235,0.05416666666666667,0.029166666666666667,0.08333333333333333,0.05268715210721036,0.9875002083333333
swap,32,235,0.020833333333333332,0.004166666666666667,0.041666666666666664,0.016773581393155518,0.9875068749999999
swap,35,235,0.0,0.0,0.0,0.00034241634245367084,0.9875016666666667
swap,38,235,0.0,0.0,0.0,-0.0012408183921116783,0.987502125
swap,41,235,0.0,0.0,0.0,-8.03728700641381e-05,0.9875013333333332
swap,44,235,0.0,0.0,0.0,-0.0006121389919245625,0.9875016666666667
swap,47,235,0.0,0.0,0.0,-0.0003484033677460965,0.9875013333333332
swap,50,235,0.0,0.0,0.0,-5.839392446792888e-06,0.9875008333333334
swap,53,235,0.0,0.0,0.0,0.00022979317434421626,0.9875010416666666
swap,56,235,0.0,0.0,0.0,-0.0002959359147622084,0.9875010416666666
swap,59,235,0.0,0.0,0.0,0.00011401570985288769,0.9875010416666666
