layer,dir,mode,c,n_pairs,P_A_plus,P_A_minus,P_A_zero,swing,ci_lo,ci_hi,mass_plus,mass_minus
23,cov0,a_only,0.05,120,0.5777176429033185,0.53818526032638,,0.03953238257693846,-0.009797208812172359,0.0850238473911738,0.9874985,0.9882006666666666
23,probe,a_only,0.05,120,0.779026506857564,0.12208828792213461,,0.6569382189354295,0.6010135976977262,0.7141120122804059,0.9998642916666667,0.9569042083333333
23,rand0,a_only,0.05,120,0.5823787886163172,0.44832028189215645,,0.13405850672416061,0.08447166388453965,0.18712770190044,0.9876962916666667,0.987438625
23,rand1,a_only,0.05,120,0.4398317298993083,0.5832948822865301,,-0.1434631523872218,-0.1935803615935172,-0.09392914691262227,0.9875061249999999,0.9874962916666666
20,cov0,contrastive,0.02,120,0.5967681123046551,0.615986776696961,,-0.019218664392305997,-0.04524234023879113,0.004114786352375249,0.9875006249999999,0.9875047083333333
23,cov0,contrastive,0.02,120,0.6073766686254785,0.607408327030387,,-3.16584049087761e-05,-0.04056215934888424,0.03921706243461336,0.9875112916666667,0.9862800416666667
20,cov0,contrastive,0.05,120,0.5974258619014302,0.625363267101889,,-0.027937405200458947,-0.06983025220017626,0.011188808453379244,0.9875002916666666,0.9883869583333333
23,cov0,contrastive,0.05,120,0.6198655370726683,0.6433744756981675,,-0.023508938625499312,-0.09454484856368629,0.042290898183697294,0.9916644166666667,0.9875040833333333
20,cov1,contrastive,0.02,120,0.5947912123659539,0.5990551170737372,,-0.004263904707783097,-0.038078583104918906,0.027320167885781926,0.9877973333333333,0.9873359583333332
23,cov1,contrastive,0.02,120,0.6276312005241207,0.5862804821798887,,0.04135071834423192,0.014039426167152775,0.06923809302709176,0.9875003333333333,0.987507125
20,cov1,contrastive,0.05,120,0.5735472395507568,0.6345630700251214,,-0.06101583047436459,-0.12112606824358538,-0.010243375195925603,0.991069,0.988306125
23,cov1,contrastive,0.05,120,0.6477130362237792,0.5388304812844835,,0.10888255493929572,0.05805746168416017,0.16444496602131362,0.9875001666666667,0.9877897916666666
20,cov2,contrastive,0.02,120,0.6249148183771287,0.5816466145655911,,0.04326820381153769,0.01335803831240684,0.07455804282649144,0.9871616666666667,0.9876627083333334
23,cov2,contrastive,0.02,120,0.6057336825635758,0.6307847584211589,,-0.025051075857583052,-0.07014152434742972,0.016668180448805636,0.9875010416666666,0.987436125
20,cov2,contrastive,0.05,120,0.6533493857596642,0.49859214044708955,,0.15475724531257473,0.1040141091858856,0.20645348041582498,0.9842954166666668,0.9912309583333333
23,cov2,contrastive,0.05,120,0.5784912592308807,0.6690054750737077,,-0.09051421584282698,-0.16134125014936457,-0.022923142393002163,0.9874893750000001,0.9893530416666666
23,low0,contrastive,0.02,120,0.6365732092037706,0.5949610034084178,,0.041612205795352845,0.0064185698541745955,0.07607454732975397,0.9875204583333334,0.9874980416666667
