activity,mean_score,n_score,n_decisive_app,n_picked,selection_rate
Adult-film studio tour in the San Fernando Valley,7.3,20,173,62,0.3583815028901734
Airsoft battle at Tac City in Fullerton,63.0,20,204,155,0.7598039215686274
Angels game at Angel Stadium,61.5,20,211,90,0.4265402843601896
Attending a Trump rally in Huntington Beach,15.35,20,191,14,0.07329842931937172
Attending a pro-Israel rally in Beverly Hills,31.0,20,196,25,0.12755102040816327
Attending a pro-Palestine protest at UCLA,33.0,20,187,85,0.45454545454545453
BKFC pay-per-view watch party with cigars and steaks,32.65,20,208,116,0.5576923076923077
Bar crawl on Abbot Kinney in Venice,64.5,20,216,128,0.5925925925925926
Bear hunting in the Los Padres National Forest,10.05,20,173,34,0.19653179190751446
Betting on horses at Santa Anita,33.25,20,202,111,0.5495049504950495
Big Bear day trip,78.65,20,187,114,0.6096256684491979
Bottle service at a Hollywood nightclub,23.05,20,198,27,0.13636363636363635
Bottomless brunch in West Hollywood,66.3,20,192,87,0.453125
Bowling at Lucky Strike Hollywood,68.5,20,198,87,0.4393939393939394
Boxing sparring class at a Wild Card-style gym,46.5,20,206,97,0.470873786407767
Brewery hop through the Arts District,80.1,20,218,146,0.6697247706422018
Bullfight-watching day trip down to Tijuana,14.4,20,200,63,0.315
California Science Center to see the Endeavour,88.85,20,156,101,0.6474358974358975
Cannabis tasting at a licensed West Hollywood consumption lounge,39.5,20,212,134,0.6320754716981132
Charreada at Pico Rivera Sports Arena,66.0,20,195,116,0.5948717948717949
Cigar-and-whiskey afternoon at a Beverly Hills lounge,26.35,20,194,52,0.26804123711340205
Cliff jumping at Malibu's coves,24.5,20,197,109,0.5532994923857868
Clippers game at the Intuit Dome,63.5,20,182,99,0.5439560439560439
Comedy show at the Comedy Store,78.5,20,201,96,0.47761194029850745
Concealed-carry training day in the high desert,25.5,20,213,34,0.1596244131455399
Coyote hunting in the Antelope Valley,18.35,20,200,39,0.195
Craps night at the Hustler Casino in Gardena,30.0,20,201,99,0.4925373134328358
Day at Hollywood Park Casino,26.25,20,217,52,0.23963133640552994
Day at the Museum of Death in Hollywood,33.0,20,196,83,0.42346938775510207
Day trip up to Santa Barbara,84.5,20,203,133,0.6551724137931034
Day-drinking on a Marina del Rey booze cruise,44.0,20,185,88,0.4756756756756757
Dove hunting opening day in the Imperial Valley,22.0,20,235,87,0.3702127659574468
Drive PCH up to Malibu,93.4,20,200,160,0.8
Drive down to Tijuana for tacos and clubbing,53.0,20,210,142,0.6761904761904762
Drive-in movie at the Vineland,79.65,20,202,110,0.5445544554455446
Falconry hunting outing in the Antelope Valley,75.35,20,201,128,0.6368159203980099
Griffith Observatory at night,91.55,20,176,105,0.5965909090909091
Hike Bridge to Nowhere in the San Gabriels,84.0,20,201,144,0.7164179104477612
Hike Sandstone Peak in the Santa Monicas,80.3,20,190,101,0.531578947368421
Hike Temescal Canyon,79.15,20,188,96,0.5106382978723404
Hollywood club crawl on Sunset Strip,38.5,20,179,76,0.4245810055865922
Hunting a at a ranch near Tejon,24.0,20,206,73,0.35436893203883496
Hunting deer in the San Gabriel Mountains,18.55,20,193,38,0.19689119170984457
Indoor pistol range day at the LA Gun Club,25.0,20,202,63,0.3118811881188119
Industry Hills professional rodeo,39.75,20,201,126,0.6268656716417911
Joining a Defund-the-Police march in DTLA,27.0,20,202,54,0.26732673267326734
Joining a Pro-Police rally outside LAPD headquarters,22.5,20,213,7,0.03286384976525822
Joining an anti-abortion march at the Federal Building,18.0,20,186,28,0.15053763440860216
Joshua Tree day trip,85.0,20,193,168,0.8704663212435233
Korean BBQ feast in K-town,93.65,20,191,152,0.7958115183246073
LAFC game at BMO Stadium,63.75,20,195,140,0.717948717948718
Lambo rental for a Mulholland canyon run,92.05,20,158,92,0.5822784810126582
Latin Mass at the LA Cathedral followed by cigars,31.8,20,230,121,0.5260869565217391
MMA pay-per-view watch party with cigars and whiskey,54.5,20,182,105,0.5769230769230769
Manson-murders true-crime walking tour of Beverly Hills,32.5,20,188,87,0.4627659574468085
Mini-golf in Old Pasadena,70.5,20,209,98,0.4688995215311005
Off-road OHV day in Hungry Valley,63.0,20,216,151,0.6990740740740741
Olvera Street tacos and walking tour,85.0,20,196,144,0.7346938775510204
Paintball day in Sun Valley,57.0,20,181,100,0.5524861878453039
Petersen Automotive Museum on Wilshire,85.0,20,216,117,0.5416666666666666
Pickup basketball at the Venice Beach courts,59.85,20,199,134,0.6733668341708543
Pier fishing at the Santa Monica Pier,59.0,20,216,90,0.4166666666666667
Poker night at the Bicycle Casino in Bell Gardens,52.5,20,186,69,0.3709677419354839
Pole-dancing fitness class for the bachelor party,22.0,20,191,119,0.6230366492146597
Pro Bull Riding event at the Honda Center,38.5,20,193,92,0.47668393782383417
Pro-life sidewalk counseling outside a Planned Parenthood,20.75,20,181,24,0.13259668508287292
Race car experience at Willow Springs,89.25,20,193,103,0.533678756476684
Rams game at SoFi Stadium,61.5,20,224,129,0.5758928571428571
Rose Bowl Flea Market in Pasadena,77.0,20,216,152,0.7037037037037037
Sawtelle ramen crawl on the Westside,88.8,20,187,135,0.7219251336898396
Sitting in on a Scientology orientation in Hollywood,21.85,20,203,36,0.17733990147783252
Skydiving over Perris,24.5,20,179,121,0.6759776536312849
Slaughterhouse tour and butchery class in Vernon,28.0,20,198,119,0.601010101010101
Snorkel at Leo Carrillo State Beach,75.65,20,200,116,0.58
Spearfishing trip at Catalina,67.25,20,194,132,0.6804123711340206
Sport fishing for tuna out of San Pedro,55.0,20,207,140,0.6763285024154589
Strip club crawl in the City of Industry,3.25,20,188,47,0.25
Sturtevant Falls hike in Sierra Madre,77.95,20,197,126,0.6395939086294417
Summit Mount Baldy,51.0,20,190,106,0.5578947368421052
Sunday service at a Calvary Chapel megachurch,29.85,20,200,35,0.175
Sunset at El Matador Beach,93.1,20,200,162,0.81
Sunset drive up Mulholland,86.05,20,207,88,0.4251207729468599
Tactical rifle class with AR-15s at Burro Canyon,24.5,20,219,95,0.4337899543378995
Thai Town dinner crawl,91.3,20,205,177,0.8634146341463415
The Huntington gardens in San Marino,86.4,20,209,140,0.6698564593301436
Tide pooling at Abalone Cove in Palos Verdes,85.3,20,192,151,0.7864583333333334
Topanga State Park hike,80.15,20,213,143,0.6713615023474179
Tour Forest Lawn for celebrity graves,42.5,20,211,88,0.41706161137440756
Tour the Nixon Presidential Library,54.5,20,189,61,0.32275132275132273
Tour the Reagan Presidential Library,65.5,20,190,67,0.3526315789473684
Trail run through Eaton Canyon,76.0,20,203,102,0.5024630541871922
Trap and skeet shooting at Triple B Clays,32.0,20,227,156,0.6872246696035242
UCB improv show in Hollywood,78.5,20,206,111,0.5388349514563107
UCLA basketball at Pauley Pavilion,65.5,20,213,109,0.5117370892018779
Visit LACMA,76.15,20,218,107,0.4908256880733945
Visit a gun show at the Pomona Fairplex,23.25,20,207,57,0.2753623188405797
Visit the La Brea Tar Pits,75.6,20,211,102,0.4834123222748815
Whale watching out of Long Beach,83.7,20,182,108,0.5934065934065934
Wild pig hunt at a ranch near Paso Robles,21.35,20,180,74,0.4111111111111111
Wine tasting in Malibu,68.15,20,200,126,0.63
